line_name,station_name,train_number,direction_type,arrival_time,last_seen_time,status,count,dwell_seconds,dwell_minutes
1호선,신이문,0667,1,2026-01-07 15:22:06,2026-01-07 15:22:06,1,2,0.0,0.0
1호선,역곡,0121,1,2026-01-07 15:21:25,2026-01-07 15:21:25,1,3,0.0,0.0
1호선,역곡,1101,1,2026-01-07 15:20:06,2026-01-07 15:20:06,1,3,0.0,0.0
1호선,영등포,0112,0,2026-01-07 15:21:21,2026-01-07 15:21:21,1,3,0.0,0.0
1호선,영등포,0663,1,2026-01-07 15:22:44,2026-01-07 15:22:44,1,1,0.0,0.0
1호선,오산,0659,1,2026-01-07 15:22:54,2026-01-07 15:22:54,1,1,0.0,0.0
1호선,오산대,0659,1,2026-01-07 15:20:02,2026-01-07 15:20:02,1,2,0.0,0.0
1호선,온수,0116,0,2026-01-07 15:21:14,2026-01-07 15:21:58,0,3,44.0,0.7333333333333333
1호선,온양온천,1925,1,2026-01-07 15:20:30,2026-01-07 15:20:30,1,3,0.0,0.0
1호선,외대앞,0648,0,2026-01-07 15:21:04,2026-01-07 15:21:04,1,2,0.0,0.0
1호선,용산,0125,1,2026-01-07 15:19:32,2026-01-07 15:19:32,1,2,0.0,0.0
1호선,용산,1933,1,2026-01-07 15:21:43,2026-01-07 15:22:26,0,2,43.0,0.7166666666666667
1호선,월계,0104,0,2026-01-07 15:20:57,2026-01-07 15:20:57,1,2,0.0,0.0
1호선,의왕,0656,0,2026-01-07 15:19:13,2026-01-07 15:19:13,1,1,0.0,0.0
1호선,인천,0115,1,2026-01-07 15:20:11,2026-01-07 15:20:11,1,3,0.0,0.0
1호선,인천,0126,0,2026-01-07 15:21:09,2026-01-07 15:21:09,1,3,0.0,0.0
1호선,전곡,0816,0,2026-01-07 15:18:49,2026-01-07 15:18:49,1,3,0.0,0.0
1호선,제기동,0106,0,2026-01-07 15:21:50,2026-01-07 15:22:14,1,4,24.0,0.4
1호선,제기동,1935,1,2026-01-07 15:21:01,2026-01-07 15:22:05,1,3,64.0,1.0666666666666667
1호선,제물포,1102,0,2026-01-07 15:20:18,2026-01-07 15:20:18,1,2,0.0,0.0
1호선,종각,0129,1,2026-01-07 15:20:18,2026-01-07 15:22:32,1,6,134.0,2.2333333333333334
1호선,종각,0650,0,2026-01-07 15:21:57,2026-01-07 15:22:25,1,4,28.0,0.4666666666666667
1호선,종로3가,0108,0,2026-01-07 15:21:00,2026-01-07 15:21:25,1,4,25.0,0.4166666666666667
1호선,종로5가,0108,0,2026-01-07 15:22:44,2026-01-07 15:22:46,0,2,2.0,0.03333333333333333
1호선,주안,1099,1,2026-01-07 15:21:23,2026-01-07 15:21:23,1,3,0.0,0.0
1호선,주안,1102,0,2026-01-07 15:22:33,2026-01-07 15:22:33,0,1,0.0,0.0
1호선,중동,0118,0,2026-01-07 15:20:09,2026-01-07 15:20:09,1,1,0.0,0.0
1호선,지제,0765,1,2026-01-07 15:21:57,2026-01-07 15:22:52,0,2,55.0,0.9166666666666666
1호선,직산,0664,0,2026-01-07 15:21:19,2026-01-07 15:21:44,0,3,25.0,0.4166666666666667
1호선,진위,0660,0,2026-01-07 15:21:12,2026-01-07 15:21:12,1,3,0.0,0.0
1호선,천안,0655,1,2026-01-07 15:16:47,2026-01-07 15:16:47,1,1,0.0,0.0
1호선,천안,0666,0,2026-01-07 15:17:12,2026-01-07 15:17:12,1,1,0.0,0.0
1호선,천안,1927,1,2026-01-07 15:22:53,2026-01-07 15:22:53,0,1,0.0,0.0
1호선,평택,1932,0,2026-01-07 15:18:05,2026-01-07 15:18:05,1,2,0.0,0.0
2호선,강남,2281,1,2026-01-07 15:21:01,2026-01-07 15:21:01,1,2,0.0,0.0
2호선,강남,3276,0,2026-01-07 15:22:44,2026-01-07 15:22:44,0,1,0.0,0.0
2호선,건대입구,2282,0,2026-01-07 15:22:31,2026-01-07 15:22:31,1,1,0.0,0.0
2호선,구로디지털단지,3266,0,2026-01-07 15:21:31,2026-01-07 15:21:31,2,2,0.0,0.0
2호선,구의,3273,1,2026-01-07 15:21:22,2026-01-07 15:22:32,1,3,70.0,1.1666666666666667
2호선,낙성대,2285,1,2026-01-07 15:21:23,2026-01-07 15:21:23,2,2,0.0,0.0
2호선,낙성대,3270,0,2026-01-07 15:21:56,2026-01-07 15:21:56,1,2,0.0,0.0
2호선,당산,2293,1,2026-01-07 15:20:58,2026-01-07 15:22:20,1,3,82.0,1.3666666666666667
2호선,당산,3262,0,2026-01-07 15:21:10,2026-01-07 15:21:10,2,2,0.0,0.0
2호선,대림,2289,1,2026-01-07 15:20:59,2026-01-07 15:22:23,1,3,84.0,1.4
2호선,대림,3266,0,2026-01-07 15:22:24,2026-01-07 15:22:24,1,1,0.0,0.0
2호선,도림천,5613,1,2026-01-07 15:22:29,2026-01-07 15:22:29,0,1,0.0,0.0
2호선,도림천,5616,0,2026-01-07 15:21:23,2026-01-07 15:21:49,0,3,26.0,0.43333333333333335
2호선,동대문역사문화공원,2301,1,2026-01-07 15:21:27,2026-01-07 15:21:27,2,1,0.0,0.0
2호선,뚝섬,3252,0,2026-01-07 15:21:50,2026-01-07 15:21:50,1,2,0.0,0.0
2호선,뚝섬,3305,1,2026-01-07 15:21:32,2026-01-07 15:21:47,0,3,15.0,0.25
2호선,문래,2264,0,2026-01-07 15:22:42,2026-01-07 15:22:42,0,1,0.0,0.0
2호선,문래,2291,1,2026-01-07 15:21:23,2026-01-07 15:21:23,2,2,0.0,0.0
2호선,방배,3283,1,2026-01-07 15:20:17,2026-01-07 15:21:42,1,3,85.0,1.4166666666666667
2호선,봉천,2287,1,2026-01-07 15:22:39,2026-01-07 15:22:39,1,1,0.0,0.0
2호선,사당,2285,1,2026-01-07 15:22:45,2026-01-07 15:22:45,1,1,0.0,0.0
2호선,사당,3270,0,2026-01-07 15:20:44,2026-01-07 15:20:44,2,1,0.0,0.0
2호선,삼성,2278,0,2026-01-07 15:21:56,2026-01-07 15:21:56,1,2,0.0,0.0
2호선,삼성,3279,1,2026-01-07 15:22:32,2026-01-07 15:22:32,1,1,0.0,0.0
2호선,상왕십리,2303,1,2026-01-07 15:20:54,2026-01-07 15:22:03,1,2,69.0,1.15
2호선,상왕십리,3254,0,2026-01-07 15:21:14,2026-01-07 15:21:14,1,2,0.0,0.0
2호선,서초,3274,0,2026-01-07 15:21:02,2026-01-07 15:22:01,1,3,59.0,0.9833333333333333
2호선,선릉,3279,1,2026-01-07 15:20:16,2026-01-07 15:21:36,1,2,80.0,1.3333333333333333
2호선,성수,2282,0,2026-01-07 15:21:02,2026-01-07 15:21:02,2,2,0.0,0.0
2호선,시청,2299,1,2026-01-07 15:21:56,2026-01-07 15:21:56,1,2,0.0,0.0
2호선,시청,3258,0,2026-01-07 15:22:32,2026-01-07 15:22:32,1,1,0.0,0.0
2호선,신답,1615,1,2026-01-07 15:21:08,2026-01-07 15:21:08,1,2,0.0,0.0
2호선,신당,2303,1,2026-01-07 15:22:33,2026-01-07 15:22:33,1,1,0.0,0.0
2호선,신도림,2264,0,2026-01-07 15:20:16,2026-01-07 15:21:56,1,2,100.0,1.6666666666666667
2호선,신도림,2291,1,2026-01-07 15:22:30,2026-01-07 15:22:30,1,1,0.0,0.0
2호선,신림,2268,0,2026-01-07 15:20:52,2026-01-07 15:22:23,1,3,91.0,1.5166666666666666
2호선,신림,2287,1,2026-01-07 15:20:38,2026-01-07 15:21:55,1,2,77.0,1.2833333333333334
2호선,신설동,1618,0,2026-01-07 15:21:27,2026-01-07 15:21:27,1,3,0.0,0.0
2호선,신촌,2260,0,2026-01-07 15:21:12,2026-01-07 15:22:30,1,3,78.0,1.3
2호선,신촌,2295,1,2026-01-07 15:20:58,2026-01-07 15:20:58,2,1,0.0,0.0
2호선,아현,2297,1,2026-01-07 15:21:52,2026-01-07 15:21:52,1,2,0.0,0.0
2호선,양천구청,5613,1,2026-01-07 15:20:05,2026-01-07 15:21:44,1,2,99.0,1.65
2호선,역삼,2281,1,2026-01-07 15:22:40,2026-01-07 15:22:40,1,1,0.0,0.0
2호선,역삼,3276,0,2026-01-07 15:21:13,2026-01-07 15:21:13,1,2,0.0,0.0
2호선,왕십리,3254,0,2026-01-07 15:22:44,2026-01-07 15:22:44,0,1,0.0,0.0
2호선,용답,1616,0,2026-01-07 15:21:04,2026-01-07 15:21:04,2,3,0.0,0.0
2호선,용두,1615,1,2026-01-07 15:22:39,2026-01-07 15:22:39,0,1,0.0,0.0
2호선,을지로4가,2256,0,2026-01-07 15:21:13,2026-01-07 15:22:26,1,3,73.0,1.2166666666666666
2호선,을지로4가,2301,1,2026-01-07 15:22:03,2026-01-07 15:22:03,1,2,0.0,0.0
2호선,을지로입구,2299,1,2026-01-07 15:21:31,2026-01-07 15:21:31,2,1,0.0,0.0
2호선,잠실,2275,1,2026-01-07 15:21:16,2026-01-07 15:21:16,2,1,0.0,0.0
2호선,잠실,3280,0,2026-01-07 15:22:45,2026-01-07 15:22:45,1,1,0.0,0.0
2호선,잠실나루,2275,1,2026-01-07 15:21:59,2026-01-07 15:21:59,1,2,0.0,0.0
2호선,잠실나루,3280,0,2026-01-07 15:20:41,2026-01-07 15:21:53,1,2,72.0,1.2
2호선,잠실새내,2277,1,2026-01-07 15:21:23,2026-01-07 15:22:31,1,3,68.0,1.1333333333333333
2호선,종합운동장,2278,0,2026-01-07 15:21:18,2026-01-07 15:21:18,2,1,0.0,0.0
2호선,충정로,2297,1,2026-01-07 15:21:22,2026-01-07 15:21:22,2,1,0.0,0.0
2호선,충정로,3258,0,2026-01-07 15:20:34,2026-01-07 15:21:49,1,2,75.0,1.25
2호선,한양대,3252,0,2026-01-07 15:21:04,2026-01-07 15:21:04,2,1,0.0,0.0
2호선,합정,3262,0,2026-01-07 15:22:45,2026-01-07 15:22:45,1,1,0.0,0.0
2호선,홍대입구,2295,1,2026-01-07 15:21:57,2026-01-07 15:22:09,0,2,12.0,0.2
3호선,경복궁,3225,1,2026-01-07 15:21:26,2026-01-07 15:21:26,2,1,0.0,0.0
3호선,경찰병원,3211,1,2026-01-07 15:21:16,2026-01-07 15:22:09,1,2,53.0,0.8833333333333333
3호선,구파발,3232,0,2026-01-07 15:22:52,2026-01-07 15:22:53,1,2,1.0,0.016666666666666666
3호선,금호,3221,1,2026-01-07 15:21:22,2026-01-07 15:22:17,1,3,55.0,0.9166666666666666
3호선,금호,3240,0,2026-01-07 15:21:15,2026-01-07 15:22:04,1,2,49.0,0.8166666666666667
3호선,남부터미널,3217,1,2026-01-07 15:21:28,2026-01-07 15:22:59,1,3,91.0,1.5166666666666666
3호선,남부터미널,3248,0,2026-01-07 15:21:26,2026-01-07 15:22:57,0,3,91.0,1.5166666666666666
3호선,대치,3250,0,2026-01-07 15:21:10,2026-01-07 15:22:07,1,2,57.0,0.95
3호선,대화,3222,0,2026-01-07 15:21:33,2026-01-07 15:22:05,0,3,32.0,0.5333333333333333
3호선,대화,3241,1,2026-01-07 15:16:53,2026-01-07 15:16:53,1,1,0.0,0.0
3호선,대화,3243,1,2026-01-07 15:22:40,2026-01-07 15:22:40,1,1,0.0,0.0
3호선,도곡,3250,0,2026-01-07 15:22:56,2026-01-07 15:22:56,1,1,0.0,0.0
3호선,동대입구,3223,1,2026-01-07 15:22:53,2026-01-07 15:22:53,1,1,0.0,0.0
3호선,마두,3224,0,2026-01-07 15:20:58,2026-01-07 15:21:56,0,3,58.0,0.9666666666666667
3호선,무악재,3227,1,2026-01-07 15:22:53,2026-01-07 15:22:53,1,1,0.0,0.0
3호선,무악재,3234,0,2026-01-07 15:21:29,2026-01-07 15:21:29,2,1,0.0,0.0
3호선,백석,3237,1,2026-01-07 15:21:27,2026-01-07 15:22:02,0,3,35.0,0.5833333333333334
3호선,불광,3229,1,2026-01-07 15:22:55,2026-01-07 15:22:55,1,1,0.0,0.0
3호선,삼송,3231,1,2026-01-07 15:19:47,2026-01-07 15:19:47,1,1,0.0,0.0
3호선,수서,3252,0,2026-01-07 15:20:42,2026-01-07 15:22:07,1,2,85.0,1.4166666666666667
3호선,신사,3219,1,2026-01-07 15:21:07,2026-01-07 15:22:08,1,2,61.0,1.0166666666666666
3호선,신사,3242,0,2026-01-07 15:22:53,2026-01-07 15:22:53,1,1,0.0,0.0
3호선,안국,3225,1,2026-01-07 15:22:07,2026-01-07 15:22:58,1,2,51.0,0.85
3호선,안국,3238,0,2026-01-07 15:22:51,2026-01-07 15:22:51,0,1,0.0,0.0
3호선,약수,3240,0,2026-01-07 15:22:52,2026-01-07 15:22:52,1,1,0.0,0.0
3호선,양재,3215,1,2026-01-07 15:21:28,2026-01-07 15:22:57,1,3,89.0,1.4833333333333334
3호선,연신내,3229,1,2026-01-07 15:20:45,2026-01-07 15:22:07,1,2,82.0,1.3666666666666667
3호선,연신내,3232,0,2026-01-07 15:20:18,2026-01-07 15:22:05,1,4,107.0,1.7833333333333334
3호선,오금,3209,1,2026-01-07 15:18:30,2026-01-07 15:18:30,0,3,0.0,0.0
3호선,오금,3211,1,2026-01-07 15:22:55,2026-01-07 15:22:55,1,1,0.0,0.0
3호선,오금,3254,0,2026-01-07 15:21:19,2026-01-07 15:22:58,1,3,99.0,1.65
3호선,원당,3235,1,2026-01-07 15:20:51,2026-01-07 15:21:44,0,3,53.0,0.8833333333333333
3호선,원흥,3228,0,2026-01-07 15:21:21,2026-01-07 15:21:21,1,3,0.0,0.0
3호선,일원,3213,1,2026-01-07 15:21:28,2026-01-07 15:22:57,0,3,89.0,1.4833333333333334
3호선,일원,3252,0,2026-01-07 15:22:47,2026-01-07 15:22:47,0,1,0.0,0.0
3호선,잠원,3219,1,2026-01-07 15:22:58,2026-01-07 15:22:58,1,1,0.0,0.0
3호선,잠원,3242,0,2026-01-07 15:21:20,2026-01-07 15:21:34,1,2,14.0,0.23333333333333334
3호선,종로3가,3238,0,2026-01-07 15:21:16,2026-01-07 15:22:01,1,2,45.0,0.75
3호선,지축,3228,0,2026-01-07 15:17:12,2026-01-07 15:17:12,2,1,0.0,0.0
3호선,지축,3231,1,2026-01-07 15:21:57,2026-01-07 15:22:41,0,4,44.0,0.7333333333333333
3호선,충무로,3223,1,2026-01-07 15:21:17,2026-01-07 15:22:00,1,2,43.0,0.7166666666666667
3호선,홍제,3227,1,2026-01-07 15:21:01,2026-01-07 15:22:02,1,2,61.0,1.0166666666666666
3호선,홍제,3234,0,2026-01-07 15:22:03,2026-01-07 15:22:35,0,2,32.0,0.5333333333333333
4호선,고잔,4624,0,2026-01-07 15:22:08,2026-01-07 15:22:08,1,2,0.0,0.0
4호선,금정,4613,1,2026-01-07 15:21:12,2026-01-07 15:21:58,0,3,46.0,0.7666666666666667
4호선,길음,4113,1,2026-01-07 15:22:56,2026-01-07 15:22:56,1,1,0.0,0.0
4호선,남태령,4616,0,2026-01-07 15:22:09,2026-01-07 15:22:47,0,4,38.0,0.6333333333333333
4호선,노원,4115,1,2026-01-07 15:20:51,2026-01-07 15:22:58,1,3,127.0,2.1166666666666667
4호선,노원,4608,0,2026-01-07 15:22:08,2026-01-07 15:22:55,1,2,47.0,0.7833333333333333
4호선,대야미,4611,1,2026-01-07 15:21:06,2026-01-07 15:22:16,0,3,70.0,1.1666666666666667
4호선,대야미,4622,0,2026-01-07 15:21:42,2026-01-07 15:22:22,0,2,40.0,0.6666666666666666
4호선,동대문,4122,0,2026-01-07 15:21:28,2026-01-07 15:22:55,0,3,87.0,1.45
4호선,동대문역사문화공원,4111,1,2026-01-07 15:21:28,2026-01-07 15:22:48,0,3,80.0,1.3333333333333333
4호선,동작,4107,1,2026-01-07 15:21:13,2026-01-07 15:22:55,1,6,102.0,1.7
4호선,동작,4126,0,2026-01-07 15:22:54,2026-01-07 15:22:54,1,1,0.0,0.0
4호선,명동,4612,0,2026-01-07 15:21:26,2026-01-07 15:21:26,2,1,0.0,0.0
4호선,명동,4621,1,2026-01-07 15:21:22,2026-01-07 15:21:22,2,1,0.0,0.0
4호선,미아,4120,0,2026-01-07 15:21:16,2026-01-07 15:21:16,2,1,0.0,0.0
4호선,미아,4625,1,2026-01-07 15:22:03,2026-01-07 15:22:03,1,2,0.0,0.0
4호선,미아사거리,4113,1,2026-01-07 15:21:05,2026-01-07 15:22:02,1,2,57.0,0.95
4호선,반월,4622,0,2026-01-07 15:19:44,2026-01-07 15:19:44,1,1,0.0,0.0
4호선,범계,4620,0,2026-01-07 15:21:18,2026-01-07 15:21:53,0,3,35.0,0.5833333333333334
4호선,불암산,4604,0,2026-01-07 15:17:19,2026-01-07 15:17:19,1,1,0.0,0.0
4호선,불암산,4627,1,2026-01-07 15:21:22,2026-01-07 15:22:37,0,3,75.0,1.25
4호선,불암산,4629,1,2026-01-07 15:20:02,2026-01-07 15:20:02,1,3,0.0,0.0
4호선,사당,4617,1,2026-01-07 15:21:11,2026-01-07 15:22:56,1,6,105.0,1.75
4호선,산본,4320,0,2026-01-07 15:21:04,2026-01-07 15:21:04,1,3,0.0,0.0
4호선,삼각지,4614,0,2026-01-07 15:22:57,2026-01-07 15:22:57,0,1,0.0,0.0
4호선,상계,4118,0,2026-01-07 15:21:21,2026-01-07 15:22:57,1,3,96.0,1.6
4호선,상계,4606,0,2026-01-07 15:19:18,2026-01-07 15:19:18,2,3,0.0,0.0
4호선,상록수,4609,1,2026-01-07 15:20:28,2026-01-07 15:20:28,1,1,0.0,0.0
4호선,서울,4109,1,2026-01-07 15:20:51,2026-01-07 15:20:51,1,1,0.0,0.0
4호선,서울,4124,0,2026-01-07 15:22:07,2026-01-07 15:22:07,1,2,0.0,0.0
4호선,선바위,4616,0,2026-01-07 15:19:16,2026-01-07 15:19:16,1,1,0.0,0.0
4호선,성신여대입구,4610,0,2026-01-07 15:21:22,2026-01-07 15:22:57,1,3,95.0,1.5833333333333333
4호선,수유,4120,0,2026-01-07 15:21:48,2026-01-07 15:22:50,1,2,62.0,1.0333333333333334
4호선,수유,4625,1,2026-01-07 15:21:29,2026-01-07 15:21:29,2,1,0.0,0.0
4호선,숙대입구,4109,1,2026-01-07 15:22:08,2026-01-07 15:22:43,0,2,35.0,0.5833333333333334
4호선,숙대입구,4124,0,2026-01-07 15:21:27,2026-01-07 15:21:27,2,1,0.0,0.0
4호선,신길온천,4607,1,2026-01-07 15:22:10,2026-01-07 15:22:46,0,2,36.0,0.6
4호선,신용산,4614,0,2026-01-07 15:21:29,2026-01-07 15:21:51,1,2,22.0,0.36666666666666664
4호선,신용산,4619,1,2026-01-07 15:21:19,2026-01-07 15:21:19,2,1,0.0,0.0
4호선,안산,4607,1,2026-01-07 15:19:36,2026-01-07 15:19:36,1,1,0.0,0.0
4호선,오이도,4605,1,2026-01-07 15:18:24,2026-01-07 15:18:24,1,3,0.0,0.0
4호선,이촌,4619,1,2026-01-07 15:22:06,2026-01-07 15:22:46,1,2,40.0,0.6666666666666666
4호선,인덕원,4615,1,2026-01-07 15:21:48,2026-01-07 15:22:34,0,2,46.0,0.7666666666666667
4호선,정부과천청사,4615,1,2026-01-07 15:18:48,2026-01-07 15:18:48,1,1,0.0,0.0
4호선,정부과천청사,4618,0,2026-01-07 15:21:07,2026-01-07 15:21:47,0,3,40.0,0.6666666666666666
4호선,정왕,4626,0,2026-01-07 15:21:13,2026-01-07 15:21:13,1,3,0.0,0.0
4호선,창동,4608,0,2026-01-07 15:21:23,2026-01-07 15:21:23,2,1,0.0,0.0
4호선,초지,4624,0,2026-01-07 15:19:48,2026-01-07 15:19:48,1,1,0.0,0.0
4호선,총신대입구(이수),4126,0,2026-01-07 15:21:24,2026-01-07 15:21:59,2,2,35.0,0.5833333333333334
4호선,충무로,4612,0,2026-01-07 15:22:00,2026-01-07 15:22:23,1,2,23.0,0.38333333333333336
4호선,한대앞,4609,1,2026-01-07 15:21:57,2026-01-07 15:22:40,0,2,43.0,0.7166666666666667
4호선,혜화,4318,0,2026-01-07 15:21:28,2026-01-07 15:22:56,0,3,88.0,1.4666666666666666
4호선,혜화,4623,1,2026-01-07 15:21:28,2026-01-07 15:22:53,0,3,85.0,1.4166666666666667
4호선,회현,4621,1,2026-01-07 15:22:05,2026-01-07 15:22:58,1,2,53.0,0.8833333333333333
5호선,강일,5134,0,2026-01-07 15:20:14,2026-01-07 15:20:14,2,3,0.0,0.0
5호선,개롱,5621,1,2026-01-07 15:20:58,2026-01-07 15:20:58,2,1,0.0,0.0
5호선,개화산,5598,0,2026-01-07 15:20:02,2026-01-07 15:20:02,1,1,0.0,0.0
5호선,거여,5621,1,2026-01-07 15:21:18,2026-01-07 15:21:47,0,2,29.0,0.48333333333333334
5호선,광나루(장신대),5132,0,2026-01-07 15:20:50,2026-01-07 15:22:02,3,3,72.0,1.2
5호선,광나루(장신대),5623,1,2026-01-07 15:20:49,2026-01-07 15:20:49,1,2,0.0,0.0
5호선,군자(능동),5109,1,2026-01-07 15:21:13,2026-01-07 15:22:18,3,2,65.0,1.0833333333333333
5호선,군자(능동),5608,0,2026-01-07 15:20:34,2026-01-07 15:20:34,1,2,0.0,0.0
